#   Yr  JD	    C		 Th	 Ph	RA	Dec	 E	Expo
1  2005	186	1120579594	57.3	155.7	45.8	-1.7	127.0	3117.6
2  2007	13	1168768186	14.2	85.6	192.9	-21.2	164.7	9784.9
3  2008	268	1222307719	49.8	140.5	287.8	1.5	139.9	21324.1   SGR 1900+14?
4  2011	26	1296108817	24.9	90.9	150.0	-10.4	115.8	39260.2
5  2011	361	1325034337	47.4	-111.7	344.1	-71.5	107.8	47003.2
6  2012	81	1332350782	47.4	-118.3	309.2	-66.7	104.3	48861.5
7  2014	293	1413885674	6.8	-155.4	102.9	-37.8	155.1	70647.3
8  2014	359	1419543426	45.1	145.6	313.3	-4.5	106.8	72194.9
9  2015	86	1427462822	28.2	54.1	333.7	-11.0	106.2	74243.6
10 2015	143	1432416422	39.2	-139.8	83.1	-51.1	107.1	75589.6
11 2015	236	1440460829	20.1	-46.1	284.8	-48.0	124.9	77711.0
12 2015	268	1443266386	77.2	-172.0	21.7	-13.8	113.3	78448.5
13 2015	334	1448953110	47.7	-52.0	169.9	-59.8	105.1	79901.5
14 2016	21	1453381745	13.7	-179.8	231.4	-34.0	121.8	81056.9
15 2016	26	1453874568	22.6	-14.7	175.6	-37.7	122.3	81177.2
16 2016	68	1457496302	23.7	108.7	151.5	-12.6	115.2	82087.0
17 2016	228	1471311990	48.0	-163.2	222.9	-34.1	102.3	85344.1
18 2016	297	1477276760	49.5	104.5	352.1	13.2	110.6	86824.4
19 2017	361	1514425553	41.7	-30.5	107.8	-44.7	131.6	96084.6
20 2018	174	1529810463	42.7	4.3	300.0	-22.6	109.6	100244.0
21 2018	217	1533509604	9.9	114.2	223.9	-26.3	100.7	101240.5
22 2018	224	1534096475	47.9	141.7	125.0	-0.6	146.5	101397.8
23 2018	336	1543812862	12.5	138.4	65.8	-26.3	107.0	104024.4
24 2019	61	1551609400	48.6	-113.3	185.9	-70.7	107.6	106063.9
25 2019	117	1556436334	14.8	-32.7	275.0	-42.1	132.6	107370.7
26 2019	314	1573399408	58.6	-135.6	128.9	-52.0	165.5	111928.9
27 2019	340	1575640030	36.1	100.3	206.6	0.4	101.2	112531.2
28 2020	26	1580092842	1.4	-53.7	98.1	-36.1	102.6	113671.3
29 2020	66	1583535647	41.4	-20.6	133.6	-38.3	109.7	114595.1
30 2020	73	1584120052	65.1	-77.6	133.3	-75.1	103.7	114751.5
31 2020	163	1591895321	18.9	-47.7	107.2	-47.6	155.2	116796.7
